Print ISBN,eBook ISBN,File Name,Title,Subtitle,Contributor 1 Role,Contributor 1 Full Name,Contributor 2 Role,Contributor 2 Full Name,Contributor 3 Role,Contributor 3 Full Name,Contributor 4 Role,Contributor 4 Full Name,Contributor 5 Role,Contributor 5 Full Name,Contributor 6 Role,Contributor 6 Full Name,Contributor 7 Role,Contributor 7 Full Name,Price,Main Description
9781629638720,9781629638942,day_the_klan_came_to_town_9781629638942.pdf,"Day the Klan Came to Town, The ",,Author,Bill Campbell,Illustrated by,Bizhan Khodabandeh,Foreword by,P. Djeli Clark,,,,,,,,,15.95,"<p>The year is 1923. The Ku Klux Klan is at the height of its power in the US as membership swells into the millions and they expand beyond their original southern borders. As they grow, so do their targets. As they continue their campaigns of terror against African Americans, their list now includes Catholics and Jews, southern and eastern Europeans, all in the name of &ldquo;white supremacy.&rdquo; But they are no longer considered a terrorist organization. By adding the messages of moral decency, family values, and temperance, the Klan has slapped on a thin veneer of respectability and has become a &ldquo;civic organization,&rdquo; attracting ordinary citizens, law enforcement, and politicians to their particular brand of white, Anglo-Saxon, and Protestant &ldquo;Americanism.&rdquo;</p>







<p>Pennsylvania enthusiastically joined that wave. That was when the Grand Dragon of Pennsylvania decided to display the Klan&rsquo;s newfound power in a show of force. He chose a small town outside of Pittsburgh named after Andrew Carnegie; a small, unassuming borough full of &ldquo;Catholics and Jews,&rdquo; the perfect place to teach these immigrants &ldquo;a lesson.&rdquo; Some thirty thousand members of the Klan gathered from as far as Kentucky for &ldquo;Karnegie Day.&rdquo; After initiating new members, they armed themselves with torches and guns to descend upon the town to show them exactly what Americanism was all about.</p>







<p><em>The Day the Klan Came to Town</em> is a fictionalized retelling of the riot, focusing on a Sicilian immigrant, Primo Salerno. He is not a leader; he&rsquo;s a man with a troubled past. He was pulled from the sulfur mines of Sicily as a teen to fight in the First World War. Afterward, he became the focus of a local fascist and was forced to emigrate to the United States. He doesn&rsquo;t want to fight but feels that he may have no choice. The entire town needs him&mdash;and indeed everybody&mdash;to make a stand.</p>"
9781604864892,9781604869873,Dead_Kennedys_9781604869873.pdf,Dead Kennedys,"Fresh Fruit for Rotting Vegetables, The Early Years",Author,Alex Ogg,Illustrated by,Winston Smith,Photographer,Ruby Ray,,,,,,,,,17.95,"<p>Dead Kennedys routinely top both critic and fan polls as the greatest punk band of their generation. Their debut full-length, <em>Fresh Fruit for Rotting Vegetables</em>, in particular, is regularly voted among the top albums in the genre. <em>Fresh Fruit</em> offered a perfect hybrid of humor and polemic strapped to a musical chassis that was as tetchy and inventive as Jello Biafra&rsquo;s withering broadsides. Those lyrics, cruel in their precision, were revelatory. But it wouldn&rsquo;t have worked if the underlying sonics were not such an uproarious rush, the paraffin to Biafra&rsquo;s naked flame.</p>
<p>Dead Kennedys&rsquo; continuing influence is an extraordinary achievement for a band that had practically zero radio play and only released records on independent labels. They not only existed outside of the mainstream but were, as V. Vale of <em>Search and Destroy</em> noted, the first band of their stature to turn on and attack the music industry itself. The DKs set so much in motion. They were integral to the formulation of an alternative network that allowed bands on the first rung of the ladder to tour outside of their own backyard. They were instrumental in supporting the concept of all-ages shows and spurned the advances of corporate rock promoters and industry lapdogs. They legitimized the notion of an American punk band touring internationally while disseminating the true horror of their native country&rsquo;s foreign policies, effectively serving as anti-ambassadors on their travels.</p>
<p>The book uses dozens of first-hand interviews, photos, and original artwork to offer a new perspective on a group who would become mired in controversy almost from the get-go. It applauds the band&rsquo;s key role in transforming punk rhetoric, both polemical and musical, into something genuinely threatening&mdash;and enormously funny. The author offers context in terms of both the global and local trajectory of punk and, while not flinching from the wildly differing takes individual band members have on the evolution of the band, attempts to be celebratory&mdash;if not uncritical.</p>"
9781629631127,9781629632179,DeathtoBourgeoisSociety9781629632162.pdf,Death to Bourgeois Society,The Propagandists of the Deed,Edited and translated by,Mitchell Abidor,,,,,,,,,,,,,14.95,"<p>Perhaps no period has so marked, so deformed, or so defined the anarchist movement as the three years in France from 1892 to 1894, the years known as the Age of Attentats, the years dominated by the Propagandists of the Deed.</p>
<p><em>Death to Bourgeois Society</em> tells the story of four young anarchists who were guillotined in France in the 1890s. Their courage was motivated by noble ideals whose realization they saw their bombs and assassinations as hastening. In a time of cynicism and political decay for many, they represented a purity lacking in society, and their actions when they were captured, their forthrightness, their defiance up to the guillotine only added to their luster.</p>
<p>The texts collected in <em>Death to Bourgeois Society</em> focus on the main avatars of this movement: the grave robber/murderer/terrorist Ravachol; Auguste Vaillant, who bombed the Chamber of Deputies; Emile Henry, who attacked both the bourgeois in their class function and their very existence; and the Italian immigrant Santo Caserio, who brought down the curtain on the age when he assassinated the French president Sadi Carnot.</p>
<p>The volume contains key first person narratives of the events, from Ravachol&rsquo;s forbidden speech and his account of his life, to Henry&rsquo;s questioning at his trial and his programmatic letter to the director of the prison in which he was held, to Vaillant&rsquo;s confrontation with the investigators immediately after tossing his bomb, and Caserio&rsquo;s description of the assassination and his defense at his trial.</p>"
9781604866797,9781604868968,Debt_Resisters_Operations_Manual_9781604868968.pdf,Debt Resisters’ Operations Manual,,Edited by,Strike Debt,,,,,,,,,,,,,16.95,"<p>Over the last thirty years, as wages have stagnated across the country, average household debt has more than doubled. Increasingly, we are forced to take on debt to meet our needs&mdash;from housing, to education, to medical care. The results&mdash;wrecked lives, devastated communities, and an increasing reliance on credit to maintain our basic living standards&mdash;reveal an economic system that enriches the few at the expense of the many.</p>
<p><em>The Debt Resisters&rsquo; Operations Manual</em> is a handbook for debtors everywhere to understand how this system really works, while providing practical tools for fighting debt in its most exploitative forms. Inside, you&rsquo;ll find detailed strategies, resources, and insider tips for dealing with some of the most common kinds of debt, including credit card debt, medical debt, student debt, and housing debt. The book also contains tactics for navigating the pitfalls of personal bankruptcy, and information to help protect yourself from credit reporting agencies, debt collectors, payday lenders, check cashing outlets, rent-to-own stores, and more.</p>
<p>Written and edited by a network of activists, writers, and academics from Occupy Wall Street, additional chapters cover tax debt, sovereign debt, the relationship between debt and climate, and an expanded vision for a movement of mass debt resistance.</p>"
9781629631554,9781629633275,declaration_rights_human_beings_9781629633275.pdf,Declaration of the Rights of Human Beings,On the Sovereignty of Life as Surpassing the Rights of Man,Author,Raoul Vaneigem,Translated by,Liz Heron,,,,,,,,,,,20.00,"<p>&ldquo;A declaration of rights is indispensable in order to halt the ravages of despotism.&rdquo; So wrote the revolutionary Antoine Barnave in support of the Declaration of the Rights of Man and of the Citizen (1789). Over two centuries after the Great French Revolution, Raoul Vaneigem writes that today, &ldquo;in a situation comparable to the condition of France on the eve of its Revolution,&rdquo; we cannot limit ourselves to demanding liberties&mdash;the so-called bourgeois freedoms&mdash;that came into being with free trade, for now the free exchange of capital is the totalitarian form of a system which reduces human beings and the earth itself to merchandise. The time has come to give priority to the real individual rather than to Man in the abstract, the citizen answerable to the State and to the sole dictates of God&rsquo;s successor, the economy.</p>
<p>Sometimes playful or poetic, always provocative, Vaneigem reviews the history of bills of rights before offering his own call, with commentary, for fifty-eight rights yet to be won in a world where the &ldquo;freedoms accorded to Man&rdquo; are no longer merely &ldquo;the freedoms accorded by man to the economy.&rdquo;</p>
<p>Every human being has the right, for example: to become human and to be treated as such; to dispose freely of their time; to comfort and luxury; to free modes of transport set up by and for the collectivity; to permanent control over scientific experimentation; to association by affinity; to bend toward life what was turned toward death; to the flux of passions and the freedoms of love; to a natural life and a natural death; to hold nothing sacred; to excess and to moderation; to desire what seems beyond the realm of the possible.</p>
<p>Readers of Vaneigem&rsquo;s now-classic work <em>The Revolution of Everyday Life</em> will find much to engage with in this unique work of subversive utopianism.</p>"
9781604860641,9781604862706,Demanding_the_Impossible_9781604862706.pdf,Demanding the Impossible,A History of Anarchism,Author,Peter Marshall,,,,,,,,,,,,,29.95,"<p>Navigating the broad &ldquo;river of anarchy,&rdquo; from Taoism to Situationism, from Ranters to Punk rockers, from individualists to communists, from anarcho-syndicalists to anarcha-feminists, <em>Demanding the Impossible</em> is an authoritative and lively study of a widely misunderstood subject. It explores the key anarchist concepts of society and the state, freedom and equality, authority and power, and investigates the successes and failure of the anarchist movements throughout the world. While remaining sympathetic to anarchism, it presents a balanced and critical account. It covers not only the classic anarchist thinkers, such as Godwin, Proudhon, Bakunin, Kropotkin, Reclus and Emma Goldman, but also other libertarian figures, such as Nietzsche, Camus, Gandhi, Foucault and Chomsky. No other book on anarchism covers so much so incisively.</p>
<p>In this updated edition, a new epilogue examines the most recent developments, including &ldquo;post-anarchism&rdquo; and &ldquo;anarcho-primitivism&rdquo; as well as the anarchist contribution to the peace, green and Global Justice movements.</p>
<p><em>Demanding the Impossible</em> is essential reading for anyone wishing to understand what anarchists stand for and what they have achieved. It will also appeal to those who want to discover how anarchism offers an inspiring and original body of ideas and practices which is more relevant than ever in the twenty-first century.</p>"
9781629634418,9781629634579,Diario_de_Oaxaca_9781629634579.pdf,Diario de Oaxaca,A Sketchbook Journal of Two Years in Mexico,Author,Peter Kuper,Introduction by,Martín Solares,,,,,,,,,,,24.95,"<p>Painting a vivid, personal portrait of social and political upheaval in Oaxaca, Mexico, this unique memoir employs comics, bilingual essays, photos, and sketches to chronicle the events that unfolded around a teachers' strike and led to a seven-month siege.</p>
<p>When award-winning cartoonist Peter Kuper and his wife and daughter moved to the beautiful 16th-century colonial town of Oaxaca in 2006, they planned to spend a quiet year or two enjoying a different culture and taking a break from the U.S. political climate under the Bush administration. What they hadn't counted on was landing in the epicenter of Mexico's biggest political struggle in recent years. Timely and compelling, this extraordinary firsthand account presents a distinct artistic vision of Oaxacan life, from explorations of the beauty of the environment to graphic portrayals of the fight between strikers and government troops that left more than twenty people dead, including American journalist Brad Will.</p>
<p>This expanded paperback edition includes 32 pages of new material.</p>"
9781604864823,9781604869033,Direct_Action_and_Sabotage_9781604869033.pdf,Direct Action & Sabotage,Three Classic IWW Pamphlets from the 1910s,Author,Elizabeth Gurley Flynn,Author,Walker C. Smith,Author,William E. Trautmann,Edited by,Salvatore Salerno,,,,,,,14.95,"<p>The pamphlets reprinted here were first published in the 1910s amid great controversy. Even then, the tactics of direct action and sabotage were often associated with the cartoonists&rsquo; image of the disheveled, wild-eyed anarchist armed with stiletto, handgun, or bomb&mdash;the clandestine activity of a militant minority or the desperate acts of the unorganized.</p>
<p>The activist authors of the texts in this collection challenged the prevailing stereotypes. As they point out, the practices of direct action and sabotage are as old as class society itself and have been an integral part of the everyday work life of wage-earners in all times and places. To the Industrial Workers of the World (IWW) belongs the distinction of being the first workers&rsquo; organization in the U.S. to discuss these common practices openly, and to recognize their place in working-class struggle. Viewing direct action and sabotage in the spirit of creative nonviolence, Wobblies readily integrated these tactics into their struggle to build industrial unions.</p> 
<p>Direct action is recognized as a valuable and effective tactic by many movements around the globe and remains a cutting-edge tool for social change. Whenever communities in struggle find more conventional methods of resistance closed to them, direct action and sabotage will be employed.</p>
<p>This new edition from the Charles H. Kerr Library contains &ldquo;Direct Action and Sabotage&rdquo; (1912) by William E. Trautmann, &ldquo;Sabotage: Its History, Philosophy &amp; Function&rdquo; (1913) by Walker C. Smith, and Elizabeth Gurley Flynn&rsquo;s &ldquo;Sabotage: The Conscious Withdrawal of the Workers&rsquo; Industrial Efficiency&rdquo; (1916), edited and with an introduction by Salvatore Salerno.</p>"
9781629633831,9781629634043,Divide_and_Conquer_9781629634043.pdf,Divide and Conquer or Divide and Subdivide?,How Not to Refight the First International,Author,Mark Leier,,,,,,,,,,,,,5.95,"<p>The battles between Michael Bakunin and Karl Marx in the First International (aka the International Working Men's Association, 1864&ndash;1876) began a pattern of polemics and rancor between anarchists and Marxists that still exists today. Outlining the profound similarities between Bakunin and Marx in their early lives and careers as activists, Mark Leier suggests that the differences have often been exaggerated and have prevented activists from learning useful lessons about creating vibrant movements.</p>"
9781604863963,9781604867954,Dont_Leave_Your_Friends_Behind_9781604867954.pdf,Don't Leave Your Friends Behind,Concrete Ways to Support Families in Social Justice Movements and Communities,Edited by,Victoria Law,Edited by,China Martens,,,,,,,,,,,17.95,"<p><em>Don&rsquo;t Leave Your Friends Behind</em> is a collection of concrete tips, suggestions, and narratives on ways that non-parents can support parents, children, and caregivers in their communities, social movements, and collective processes. <em>Don&rsquo;t Leave Your Friends Behind</em> focuses on issues affecting children and caregivers within the larger framework of social justice, mutual aid, and collective liberation.</p>
<p>How do we create new, nonhierarchical structures of support and mutual aid, and include all ages in the struggle for social justice? There are many books on parenting, but few on being a good community member and a good ally to parents, caregivers, and children as we collectively build a strong all-ages culture of resistance. Any group of parents will tell you how hard their struggles are and how they are left out, but no book focuses on how allies can address issues of caretakers&rsquo; and children&rsquo;s oppression. Many well-intentioned childless activists don&rsquo;t interact with young people on a regular basis and don&rsquo;t know how. <em>Don&rsquo;t Leave Your Friends Behind</em> provides them with the resources and support to get started.</p>
<p>Contributors include: The Bay Area Childcare Collective, Ramsey Beyer, Rozalinda Borcilă, Mariah Boone, Marianne Bullock, Lindsey Campbell, Briana Cavanaugh, CRAP! Collective, a de la maza p&eacute;rez tamayo, Ingrid DeLeon, Clayton Dewey, David Gilbert, A.S. Givens, Jason Gonzales, Tiny (aka Lisa Gray-Garcia), Jessica Hoffman, Heather Jackson, Rahula Janowski, Sine Hwang Jensen, Agnes Johnson, Simon Knaphus, Victoria Law, London Pro-Feminist Men&rsquo;s Group, Amariah Love, Oluko Lumumba, mama raccoon, Mamas of Color Rising/Young Women United, China Martens, Noemi Martinez, Kathleen McIntyre, Stacey Milbern, Jessica Mills, Tomas Moniz, Coleen Murphy, Maegan &lsquo;la Mamita Mala&rsquo; Ortiz, Traci Picard, Amanda Rich, Fabiola Sandoval, Cynthia Ann Schemmer, Mikaela Shafer, Mustafa Shakur, Kate Shapiro, Jennifer Silverman, Harriet Moon Smith, Mariahadessa Ekere Tallie, Darran White Tilghman, Jessica Trimbath, Max Ventura, and Mari Villaluna.</p>"
9781604863024,9781604864700,Dont_Mourn_Balkanize_9781604864700.pdf,"Don't Mourn, Balkanize!",Essays after Yugoslavia,Author,Andrej Grubačić,Introduction by,Roxanne Dunbar-Ortiz,,,,,,,,,,,20.00,"<p><em>Don&rsquo;t Mourn, Balkanize!</em> is the first book written from the radical left perspective on the topic of Yugoslav space after the dismantling of the country. In this collection of essays, commentaries, and interviews, written between 2002 and 2010, Andrej Grubačić speaks about the politics of balkanization&mdash;about the trial of Slobodan Milosevic, the assassination of Prime Minister Zoran Djindjic, neoliberal structural adjustment, humanitarian intervention, supervised independence of Kosovo, occupation of Bosnia, and other episodes of Power which he situates in the long historical context of colonialism, conquest, and intervention. </p> 

<p>But he also tells the story of the balkanization of politics, of the Balkans seen from below. A space of bogumils&mdash;those medieval heretics who fought against Crusades and churches&mdash;and a place of anti-Ottoman resistance; a home to hajduks and klefti, pirates and rebels; a refuge of feminists and socialists, of antifascists and partisans; of new social movements of occupied and recovered factories; a place of dreamers of all sorts struggling both against provincial &ldquo;peninsularity&rdquo; as well as against occupations, foreign interventions and that process which is now, in a strange inversion of history, often described by that fashionable term, &ldquo;balkanization.&rdquo; </p> 

<p>For Grubačić, political activist and radical sociologist, Yugoslavia was never just a country&mdash;it was an idea. Like the Balkans itself, it was a project of inter-ethnic co-existence, a trans-ethnic and pluricultural space of many diverse worlds. Political ideas of inter-ethnic cooperation and mutual aid as we had known them in Yugoslavia were destroyed by the beginning of the 1990s&mdash;disappeared in the combined madness of ethno-nationalist hysteria and humanitarian imperialism. This remarkable collection chronicles political experiences of the author who is himself a Yugoslav, a man without a country; but also, as an anarchist, a man without a state. This book is an important reading for those on the Left who are struggling to understand the intertwined legacy of inter-ethnic conflict and inter-ethnic solidarity in contemporary, post-Yugoslav history.</p>"
9781604860573,9781604862737,Drawing_the_Line_Once_Again_9781604862737.pdf,Drawing the Line Once Again,Paul Goodman's Anarchist Writings,Author,Paul Goodman,Edited and translated by,Taylor Stoehr,,,,,,,,,,,14.95,"<p>Five years after his death in 1972, Paul Goodman was characterized by anarchist historian George Woodcock as &ldquo;the only truly seminal libertarian thinker in our generation.&rdquo; In this new PM Press initiative, Goodman&rsquo;s literary executor Taylor Stoehr has gathered together nine core texts from his anarchist legacy to future generations. </p>
<p> Here will be found the &ldquo;utopian essays and practical proposals&rdquo; that inspired the dissident youth of the Sixties, influencing movement theory and practice so profoundly that they have become underlying assumptions of today&rsquo;s radicalism. Goodman&rsquo;s analyses of citizenship and civil disobedience, decentralism and the organized system, show him Drawing the Line Once Again, mindful of the long anarchist tradition, and especially of the Jeffersonian democracy that resonated strongly in his own political thought. This is a deeply American book, a potent antidote to US global imperialism and domestic anomie.</p>"
9781604867220,9781604868227,Drawn_to_New_York_9781604868227.pdf,Drawn to New York,An Illustrated Chronicle of Three Decades in New York City,Author,Peter Kuper,Introduction by,Eric Drooker,,,,,,,,,,,29.95,"<p>A declaration of love to Peter Kuper&rsquo;s adoptive city, where he has lived since 1977, this diary is a vibrant survey of New York City&rsquo;s history. Kuper&rsquo;s illustrations depict a climb to the top of the Brooklyn Bridge, the homeless living in Times Square, roller skaters in Central Park, the impact of September 11, the luxury of Wall Street, street musicians, and other scenes unique to the city. With comics, illustrations, and sketches, this work of art portrays everything from the low life to the high energy that has long made people from around the world flock to the Big Apple.</p>
<p><em>Drawn to New York</em> is a reflection of one artist&rsquo;s thirty-four years on twelve miles of island with eight million people in a city whose story is ever being written.</p>"
9781604866742,9781604868197,Earth_at_Risk_9781604868197.pdf,Earth at Risk,Building a Resistance Movement to Save the Planet,Edited by,Derrick Jensen,Edited by,Lierre Keith,,,,,,,,,,,20.00,"<p>&ldquo;In America, four hundred people own the wealth of more than half of the American population. We should not be saying <em>tax the rich</em>, but instead we should be saying <em>take their money and redistribute it, take their property and redistribute it</em>.&rdquo;<br />&mdash;Arundhati Roy</p>
<p>Industrial civilization is devouring the planet and the future. The oceans are acidifying, whole mountains have been laid to waste, and the climate is teetering into chaos. Every biome is approaching collapse. And fifty years of environmentalism hasn&rsquo;t even slowed the rate of destruction. Yet environmentalists are not considering strategies that might actually prevent the looming biocide we are facing.</p>
<p>Until Earth at Risk.</p>
<p><em>Earth at Risk: Building a Resistance Movement to Save the Planet</em> is an annual conference featuring environmental thinkers and activists who are willing to ask the hardest questions about the seriousness of our situation. The conference is convened by Derrick Jensen, acclaimed author of <em>Endgame</em>, who has argued that we need a resistance movement against civilization itself.</p>
<p>The twelve people in this volume present an impassioned critique of the dominant culture from every angle: William Catton Jr. explains ecological overshoot; Thomas Linzey gives a fiery call for community sovereignty; Jane Caputi exposes patriarchy&rsquo;s mythic dismemberment of the Goddess; Aric McBay discusses historically effective resistance strategies; and Stephanie McMillan takes down capitalism. One by one, they build an unassailable case that we need to deprive the rich of their ability to steal from the poor and the powerful of their ability to destroy the planet. These speakers offer their ideas on what can be done to build a real resistance movement, one that includes all levels of direct action&mdash;action that can actually match the scale of the problem.</p>
<p><em>Earth at Risk</em> includes:</p>
<ul>
<li>Derrick Jensen, author of <em>Endgame</em>, <em>A Language Older than Words</em>, and many others.</li>
<li>Lierre Keith, author of <em>The Vegetarian Myth: Food, Justice, and Sustainability</em>; coauthor of <em>Deep Green Resistance: Strategy to Save the Planet</em>.</li>
<li>Nora Barrows-Friedman, journalist and photographer; correspondent for outlets such as The Electronic Intifada, Al Jazeera, and Truthout.org.</li>
<li>Jane Caputi, author of <em>The Age of Sex Crime</em>; <em>Gossips, Gorgons, and Crones: The Fates of the Earth</em>; and <em>Goddesses and Monsters: Women, Myth, Power and Popular Culture</em>.</li>
<li>William Catton Jr., sociologist, author of <em>Overshoot: The Ecological Basis of Revolutionary Change</em>, and <em>Bottleneck: Humanity&rsquo;s Impending Impasse</em>.</li>
<li>Gail Dines, a founding member of Stop Porn Culture, author of <em>Pornland: How Porn Has Hijacked Our Sexuality</em>.</li>
<li>Thomas Linzey, executive director of the Community Environmental Legal Defense Fund.</li>
<li>Aric Mcbay, coauthor of <em>Deep Green Resistance: Strategy to Save the Planet</em>.</li>
<li>Stephanie Mcmillan, cartoonist; author of <em>The Beginning of the American Fall</em>; organizer for the anti-capitalist/anti-imperialist collective One Struggle.</li>
<li>Riki Ott, marine biologist, author of <em>Not One Drop: Betrayal and Courage in the Wake of the Exxon Valdez Oil Spill</em>.</li>
<li>Arundhati Roy, author of <em>An Ordinary Person&rsquo;s Guide to Empire</em>; <em>Field Notes on Democracy: Listening to Grasshoppers</em>; and many others.</li>
<li>Waziyatawin, historian and anti-colonial activist, author of <em>For Indigenous Eyes Only</em>; <em>What Does Justice Look Like? The Struggle for Liberation in Dakota Homeland</em>; and other books.</li>
</ul>"
9781629630434,9781629630557,Eclipse_and_Reemergence_of_the_Communist_Movement_9781629630557.pdf,Eclipse and Re-emergence of the Communist Movement,,Author,Gilles Dauvé,Author,François Martin,,,,,,,,,,,14.95,"<p>In the years following 1968, a number of people involved in the most radical aspects of the French general strike felt the need to reflect on their experiences and to relate them to past revolutionary endeavors. This meant studying previous attempts and theories, namely those of the post-1917 German-Dutch and Italian Communist Left. The original essays included here were first written between 1969 and 1972 and circulated amongst left communist and worker circles.</p>
<p>But France was not the only country where radicals sought to contextualize their political environment and analyze their own radical pasts. Over the years these three essays have been published separately in various languages and printed as books in both the United States and the UK with few changes. This third English edition is updated to take into account the contemporary political situation; half of the present volume is new material.</p>
<p>The book argues that doing away with wage-labor, class, the State, and private property is necessary, possible, and can only be achieved by a historical break, one that would certainly differ from October 1917&hellip; yet it would not be a peaceful, gradual, piecemeal evolution either. Like their historical predecessors&mdash;Marx, Rosa Luxemburg, Anton Pannekoek, Amadeo Bordiga, Durruti, and Debord&mdash;the authors maintain a belief in revolution.</p>"
9781604865035,9781604868074,Edge_City_9781604868074.pdf,Edge City,,Author,Sin Soracco,,,,,,,,,,,,,16.95,"<p><em>Edge City</em>, from the author of <em>Low Bite</em>, takes place in an every-noir-city (a thinly veiled portrait of San Francisco&rsquo;s North Beach), and its newest resident is Reno, an angry fledgling just hatched out of prison. Getting out is like a weird dream, and the streets of the City are a muddle of sensations pooling around her. </p> 
<p>First there&rsquo;s the bustle&mdash;everybody busy with mysterious businesses&mdash;an amplifying racket of choices. Staggering out onto the late night streets of the City, Reno ends up at the infamous Istanbul Club: dim lights, Arabic music and the sensual Su&rsquo;ad dancing. Music, booze, babes and drugs: what more could a felonious girl want? </p> 
<p>She encounters Huntington, the poisonous charmer who lives above the Club&mdash;perverse and powerful in the way only the wealthy can be. Eddie, the underage bartender, is happy to chemically enhance every waking moment. Slowmotion, the sound light technician, huge and darkly mysterious, has connections to people and places that Reno didn&rsquo;t even know existed. Slowmotion&rsquo;s elegant friend, Poppy, offers mental transport to realms beyond Xanadu; in her little valise there&rsquo;s everything necessary for any trip, including the hallucinogenic &ldquo;Teeth of Idi Amin.&rdquo; </p> 
<p>The owner of the club, handsome gambler Sinclair, hires Reno to waitress. Grumbling, drinking, snarling, and swearing, Reno bangs her way through everyone else&rsquo;s complicated plans, entangling herself in a byzantine labyrinth of betrayal, revenge, general mayhem, and yes, good times.</p>"
9781604861075,9781604865509,Ensenando_Rebeldia_9781604865509.pdf,Enseñando Rebeldía,Historias de la Lucha Popular Oaxaqueña,Edited by,Diana Denham,Edited by,C.A.S.A Collective,,,,,,,,,,,20.00,"<p>Acompa&ntilde;ada de fotograf&iacute;as y arte pol&iacute;tico, esta compilaci&oacute;n poderosa de testimonios de organizadores, artistas, amas de casa, periodistas, estudiantes, maestros y otros que participaron en la Asamblea Popular de los Pueblos de Oaxaca provee un vistazo abierto y honesto de las protestas oaxaque&ntilde;as del 2006 contra la situaci&oacute;n pol&iacute;tica en el estado mexicano--protestas que se convertir&iacute;an en una de las revueltas sociales m&aacute;s importantes del siglo XX1.</p>"
9781629635170,9781629635309,Events_and_Victims_9781629635309.pdf,Events and Victims,,Author,Bartolomeo  Vanzetti,Edited by,Jon Curley,,,,,,,,,,,6.95,"<p>This work by Bartolomeo Vanzetti, edited and with a detailed introduction by Jon Curley, features a never-before-published short story by this famous anarchist and victim of legal persecution, xenophobia, and condemnation for his radical politics. That fact that Vanzetti, an Italian immigrant, learned to write in English while jailed for a capital crime is remarkable enough. What is even more astonishing is that he chose to use his new language skills to write creatively, inventing a parable about worker exploitation and environmental disaster that is as relevant today as it was almost one hundred years ago when this prisoner took up his pen. </p>
<p>&ldquo;Events and Victims&rdquo; allows Vanzetti a new literary and historical voice, an important document that narrates the very injustice that its author suffered and fought. In a time of assault on immigrants, dissidents, radicals, and the environment, &ldquo;Events and Victims&rdquo; is as timely as ever.</p>"
9781629630946,9781629631318,Everyone_Has_Their_Reasons_9781629631318.pdf,Everyone Has Their Reasons,,Author,Joseph Matthews,,,,,,,,,,,,,24.95,"<p>On November 7, 1938, a small, slight seventeen-year-old Polish-German Jew named Herschel Grynszpan entered the German embassy in Paris and shot dead a consular official. Three days later, in supposed response, Jews across Germany were beaten, imprisoned, and killed, their homes, shops, and synagogues smashed and burned&mdash;Kristallnacht, the Night of Broken Glass.</p>
<p>Based on the historical record and told through his &ldquo;letters&rdquo; from German prisons, the novel begins in 1936, when fifteen-year-old Herschel flees Germany. Penniless and alone, he makes it to Paris where he lives hand-to-mouth, his shadow existence mixing him with the starving and the wealthy, with hustlers, radicals, and seamy sides of Paris nightlife.</p>
<p>In 1938, the French state rejects refugee status for Herschel and orders him out of the country. With nowhere to go, and now sought by the police, he slips underground in immigrant east Paris.</p>
<p>Soon after, the Nazis round up all Polish Jews in Germany&mdash;including Herschel&rsquo;s family&mdash;and dump them on the Poland border. Herschel&rsquo;s response is to shoot the German official, then wait calmly for the French police.</p>
<p>June 1940, Herschel is still in prison awaiting trial when the Nazi army nears Paris. He is evacuated south to another jail but escapes into the countryside amid the chaos of millions of French fleeing the invasion. After an incredible month alone on the road, Herschel seeks protection at a prison in the far south of France. Two weeks later the French state hands him to the Gestapo.</p>
<p>The Nazis plan a big show trial, inviting the world press to Berlin for the spectacle, to demonstrate through Herschel that Jews had provoked the war. Except that Herschel throws a last-minute wrench in the plans, bringing the Nazi propaganda machine to a grinding halt. Hitler himself postpones the trial and orders that no decision be made about Herschel&rsquo;s fate until the F&uuml;hrer personally gives an order&mdash;one way or another.</p>"
9781629632315,9781629633244,Explosion_of_Deferred_Dreams_9781629633244.pdf,Explosion of Deferred Dreams,"Musical Renaissance and Social Revolution in San Francisco, 1965–1975",Author,Mat Callahan,,,,,,,,,,,,,22.95,"<p>As the fiftieth anniversary of the Summer of Love floods the media with debates and celebrations of music, political movements, &ldquo;flower power,&rdquo; &ldquo;acid rock,&rdquo; and &ldquo;hippies,&rdquo;<em>The Explosion of Deferred Dreams</em> offers a critical reexamination of the interwoven political and musical happenings in San Francisco in the Sixties. Author, musician, and native San Franciscan Mat Callahan explores the dynamic links between the Black Panthers and Sly and the Family Stone, the United Farm Workers and Santana, the Indian Occupation of Alcatraz and the San Francisco Mime Troupe, and the New Left and the counterculture.</p>
<p>Callahan&rsquo;s meticulous, impassioned arguments both expose and reframe the political and social context for the San Francisco Sound and the vibrant subcultural uprisings with which it is associated. Using dozens of original interviews, primary sources, and personal experiences, the author shows how the intense interplay of artistic and political movements put San Francisco, briefly, in the forefront of a worldwide revolutionary upsurge.</p>
<p>A must-read for any musician, historian, or person who &ldquo;was there&rdquo; (or longed to have been), <em>The Explosion of Deferred Dreams</em> is substantive and provocative, inviting us to reinvigorate our historical sense-making of an era that assumes a mythic role in the contemporary American zeitgeist.</p>"
